study_obs_count,study,intervention_scale,arm_scale,intervention,arm,outcome,covidence,timepoint,scale,model_type,mean,r,n,sd,percent,se,range,median,ci,intervals,iqr,limits,dose_extract,type,class,chronic_condition,main_aim,design,title,sponsorship_source,authors_name,duration_weeks,pain_duration,inclusion_criteria,exclusion_criteria,total_number_of_participants_randomised,number_in_each_arm_comparators_treatments,number_in_each_arm_intervention_comparators,type_of_participant_e_g_people_with_cancer,type_of_participant_e_g_people_with_cancer_2,intervention_adverse_events,intervention_adverse_events_n_percent,withdrawal_total_per_arm_n_percent,withdrawal_total_percent,withdrawal_total_n,condition,condition_general,condition_iasp
2,maarrawi 2018,placebo,placebo,placebo,placebo,pain_int,pain_neck_pain_intensity_measured_with_0_10_cm_vas_post_intervention,post_int,visual_analogue_scale_0_10,smd,6.12,NA,108,0.92,NA,0.08852704127574262,NA,NA,NA,NA,NA,NA,,placebo,NA,chronic neck pain,pain,parallel group,randomized double-blind controlled study of bedtime low-dose amitriptyline in chronic neck pain,this study was supported by the council of research of the saint joseph university of beirut – lebanon (fm201),joseph maarrawi,NA,more than 15 days/month during at least three consecutive months,"inclusion criteria were presence of cnp for more
than 15 days/month during at least three consecutive months, without previous trauma and any
other neurologic disorder except chronic tension
headache, perturbed sleep and/or trismus, age from
18 to 75 years, english-educated patients, normal
neurologic examination (performed by a neurologist) except for pericranial tenderness and no imaging abnormalities except a loss of cervical lordosis.","exclusion criteria were presence of neurologic
disorder revealed by an abnormal clinical examination or abnormal imaging, history of cervical disc
disease, migraine, trauma, major depressive disorder,
analgesic abuse, history of intolerance to tricyclic
or tetracyclic antidepressants, current psychiatric disorder, glaucoma, cardiac rhythm abnormalities,
severe constipation, medications for cnp other
than nsaid or paracetamol taken during the last
month, pregnancy in women, prostatic symptoms in
men.",332,"placebo: 166
amitriptyline: 166",NA,people with chronic neck pain,NA,no participants withdrew due to ae,NA,total withdrawal from study (discontinued + lost to follow-up): 58/332 (17.5%). 62 participants were then excluded from analysis due to more than 5 days of missing data.,NA,NA,neck pain,musculoskeletal,primary
2,maarrawi 2018,amitriptyline x visual_analogue_scale_0_10,amitriptyline - 5mg x visual_analogue_scale_0_10,amitriptyline,amitriptyline - 5mg,pain_int,pain_neck_pain_intensity_measured_with_0_10_cm_vas_post_intervention,post_int,visual_analogue_scale_0_10,smd,3.34,NA,104,1.45,NA,0.14218419797518342,NA,NA,NA,NA,NA,NA,,antidepressant,tca,chronic neck pain,pain,parallel group,randomized double-blind controlled study of bedtime low-dose amitriptyline in chronic neck pain,this study was supported by the council of research of the saint joseph university of beirut – lebanon (fm201),joseph maarrawi,NA,more than 15 days/month during at least three consecutive months,"inclusion criteria were presence of cnp for more
than 15 days/month during at least three consecutive months, without previous trauma and any
other neurologic disorder except chronic tension
headache, perturbed sleep and/or trismus, age from
18 to 75 years, english-educated patients, normal
neurologic examination (performed by a neurologist) except for pericranial tenderness and no imaging abnormalities except a loss of cervical lordosis.","exclusion criteria were presence of neurologic
disorder revealed by an abnormal clinical examination or abnormal imaging, history of cervical disc
disease, migraine, trauma, major depressive disorder,
analgesic abuse, history of intolerance to tricyclic
or tetracyclic antidepressants, current psychiatric disorder, glaucoma, cardiac rhythm abnormalities,
severe constipation, medications for cnp other
than nsaid or paracetamol taken during the last
month, pregnancy in women, prostatic symptoms in
men.",332,"placebo: 166
amitriptyline: 166",NA,people with chronic neck pain,NA,8 participants withdrew due to ae,NA,total withdrawal from study (discontinued + lost to follow-up): 58/332 (17.5%). 62 participants were then excluded from analysis due to more than 5 days of missing data.,NA,NA,neck pain,musculoskeletal,primary
4,matthey 2013,placebo,placebo,placebo,placebo,pain_int,pain_current_pain_average_pain_in_the_last_24_hours_0_100_mm_vas_post_intervention,post_int,visual_analogue_scale_0_100,smd,48.3,NA,39,25.1,NA,4.019216660507687,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,experimental pain,parallel group,"dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",this trial was supported by a grant from pierre fabre médicament.,alain matthey,NA,minimum 3 months for fms criteria. average 10.5 -12.1 years since first fms symptoms,"entry criteria: women patients over 18 years old
who met the american college of rhumatology (acr)
fms criteria (21) were included if the following criteria
were met: signed informed consent, negative urine
pregnancy test at screening and use of adequate contraception or absence of childbearing potential, willingness to withdraw from cns-active therapies, willingness
to discontinue treatment with trigger point injections
and anesthetics, and reported baseline weekly recall
pain over 40 on a 0 – 100 mm visual analog scale (vas).","exclusion criteria: severe psychiatric illness, current
major depressive episode or screening beck depression inventory (bdi) > 25, history of substance abuse,
epilepsy, active cardiac disease, severe chronic obstructive pulmonary disease, active liver disease, renal impairment, documented autoimmune disease, current
systemic infection, active cancer, active peptic ulcer or
inflammatory bowel disease (irritable bowel syndrome
excepted), unstable endocrine disorder, pregnancy or
breastfeeding, concomitant use of psychotropic drugs
(including antidepressants or phytotherapy), sympathicomimetics, long-acting benzodiazepines, anticoagulants, antiepileptic drugs, centrally-acting muscle relaxants, opioïds, smoking ( > 25 cigarettes a day).",80,"placebo: 40- 39 received treatment due to 1 randomisation failure
milnacpiran: 40
",NA,adult women with fibromyalgia,NA,11 withdrew due to aes and therapeutic failure,NA,total withdrawal: 37,NA,NA,fibromyalgia,fibromyalgia,primary
4,matthey 2013,placebo,placebo,placebo,placebo,pain_int,pain_weekly_recall_pain_vas_average_pain_over_the_previous_week_0_100_mm_vas_post_intervention,post_int,visual_analogue_scale_0_100,smd,58.3,NA,39,24.6,NA,3.9391525836051438,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,experimental pain,parallel group,"dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",this trial was supported by a grant from pierre fabre médicament.,alain matthey,NA,minimum 3 months for fms criteria. average 10.5 -12.1 years since first fms symptoms,"entry criteria: women patients over 18 years old
who met the american college of rhumatology (acr)
fms criteria (21) were included if the following criteria
were met: signed informed consent, negative urine
pregnancy test at screening and use of adequate contraception or absence of childbearing potential, willingness to withdraw from cns-active therapies, willingness
to discontinue treatment with trigger point injections
and anesthetics, and reported baseline weekly recall
pain over 40 on a 0 – 100 mm visual analog scale (vas).","exclusion criteria: severe psychiatric illness, current
major depressive episode or screening beck depression inventory (bdi) > 25, history of substance abuse,
epilepsy, active cardiac disease, severe chronic obstructive pulmonary disease, active liver disease, renal impairment, documented autoimmune disease, current
systemic infection, active cancer, active peptic ulcer or
inflammatory bowel disease (irritable bowel syndrome
excepted), unstable endocrine disorder, pregnancy or
breastfeeding, concomitant use of psychotropic drugs
(including antidepressants or phytotherapy), sympathicomimetics, long-acting benzodiazepines, anticoagulants, antiepileptic drugs, centrally-acting muscle relaxants, opioïds, smoking ( > 25 cigarettes a day).",80,"placebo: 40- 39 received treatment due to 1 randomisation failure
milnacpiran: 40
",NA,adult women with fibromyalgia,NA,11 withdrew due to aes and therapeutic failure,NA,total withdrawal: 37,NA,NA,fibromyalgia,fibromyalgia,primary
4,matthey 2013,milnacipran x visual_analogue_scale_0_100,milnacipran - 100-200mg x visual_analogue_scale_0_100,milnacipran,milnacipran - 100-200mg,pain_int,pain_current_pain_average_pain_in_the_last_24_hours_0_100_mm_vas_post_intervention,post_int,visual_analogue_scale_0_100,smd,39.6,NA,38,23.1,NA,3.747314828120615,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,experimental pain,parallel group,"dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",this trial was supported by a grant from pierre fabre médicament.,alain matthey,NA,minimum 3 months for fms criteria. average 10.5 -12.1 years since first fms symptoms,"entry criteria: women patients over 18 years old
who met the american college of rhumatology (acr)
fms criteria (21) were included if the following criteria
were met: signed informed consent, negative urine
pregnancy test at screening and use of adequate contraception or absence of childbearing potential, willingness to withdraw from cns-active therapies, willingness
to discontinue treatment with trigger point injections
and anesthetics, and reported baseline weekly recall
pain over 40 on a 0 – 100 mm visual analog scale (vas).","exclusion criteria: severe psychiatric illness, current
major depressive episode or screening beck depression inventory (bdi) > 25, history of substance abuse,
epilepsy, active cardiac disease, severe chronic obstructive pulmonary disease, active liver disease, renal impairment, documented autoimmune disease, current
systemic infection, active cancer, active peptic ulcer or
inflammatory bowel disease (irritable bowel syndrome
excepted), unstable endocrine disorder, pregnancy or
breastfeeding, concomitant use of psychotropic drugs
(including antidepressants or phytotherapy), sympathicomimetics, long-acting benzodiazepines, anticoagulants, antiepileptic drugs, centrally-acting muscle relaxants, opioïds, smoking ( > 25 cigarettes a day).",80,"placebo: 40- 39 received treatment due to 1 randomisation failure
milnacpiran: 40
",NA,adult women with fibromyalgia,NA,8 withdrew due to aes and therapeutic failure,NA,total withdrawal: 37,NA,NA,fibromyalgia,fibromyalgia,primary
4,matthey 2013,milnacipran x visual_analogue_scale_0_100,milnacipran - 100-200mg x visual_analogue_scale_0_100,milnacipran,milnacipran - 100-200mg,pain_int,pain_weekly_recall_pain_vas_average_pain_over_the_previous_week_0_100_mm_vas_post_intervention,post_int,visual_analogue_scale_0_100,smd,46.7,NA,38,26.3,NA,4.2664233757390555,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,experimental pain,parallel group,"dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",this trial was supported by a grant from pierre fabre médicament.,alain matthey,NA,minimum 3 months for fms criteria. average 10.5 -12.1 years since first fms symptoms,"entry criteria: women patients over 18 years old
who met the american college of rhumatology (acr)
fms criteria (21) were included if the following criteria
were met: signed informed consent, negative urine
pregnancy test at screening and use of adequate contraception or absence of childbearing potential, willingness to withdraw from cns-active therapies, willingness
to discontinue treatment with trigger point injections
and anesthetics, and reported baseline weekly recall
pain over 40 on a 0 – 100 mm visual analog scale (vas).","exclusion criteria: severe psychiatric illness, current
major depressive episode or screening beck depression inventory (bdi) > 25, history of substance abuse,
epilepsy, active cardiac disease, severe chronic obstructive pulmonary disease, active liver disease, renal impairment, documented autoimmune disease, current
systemic infection, active cancer, active peptic ulcer or
inflammatory bowel disease (irritable bowel syndrome
excepted), unstable endocrine disorder, pregnancy or
breastfeeding, concomitant use of psychotropic drugs
(including antidepressants or phytotherapy), sympathicomimetics, long-acting benzodiazepines, anticoagulants, antiepileptic drugs, centrally-acting muscle relaxants, opioïds, smoking ( > 25 cigarettes a day).",80,"placebo: 40- 39 received treatment due to 1 randomisation failure
milnacpiran: 40
",NA,adult women with fibromyalgia,NA,8 withdrew due to aes and therapeutic failure,NA,total withdrawal: 37,NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,placebo,placebo,placebo,placebo,pain_int,pain_ped_24_hour_recall_pain_score_weekly_average_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,50.86,NA,128,2.11,NA,0.18649941353795188,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,23 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,placebo,placebo,placebo,placebo,pain_int,pain_ped_weekly_recall_pain_scores_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,52.24,NA,123,2.11,NA,0.1902522929148282,NA,NA,NA,NA,NA,NA,,placebo,NA,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,23 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,milnacipran x visual_analogue_scale_0_100,milnacipran 100mg x visual_analogue_scale_0_100,milnacipran,milnacipran 100mg,pain_int,pain_ped_24_hour_recall_pain_score_weekly_average_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,43.31,NA,115,2.21,NA,0.20608356262110936,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,44 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,milnacipran x visual_analogue_scale_0_100,milnacipran 100mg x visual_analogue_scale_0_100,milnacipran,milnacipran 100mg,pain_int,pain_ped_weekly_recall_pain_scores_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,46.65,NA,110,2.35,NA,0.2240637084727142,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,44 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,milnacipran x visual_analogue_scale_0_100,milnacipran 200mg x visual_analogue_scale_0_100,milnacipran,milnacipran 200mg,pain_int,pain_ped_24_hour_recall_pain_score_weekly_average_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,43.42,NA,204,1.77,NA,0.12392478743647886,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,119 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
6,mease 2009,milnacipran x visual_analogue_scale_0_100,milnacipran 200mg x visual_analogue_scale_0_100,milnacipran,milnacipran 200mg,pain_int,pain_ped_weekly_recall_pain_scores_27_weeks_post_intervention_mean_sem,post_int,visual_analogue_scale_0_100,smd,45.86,NA,195,1.88,NA,0.13462959631941337,NA,NA,NA,NA,NA,NA,,antidepressant,snri,fibromyalgia,pain,parallel group,"the efficacy and safety or milnacipran for treatment of fibromyalgia. a randomized, double-blind, placebo-controlled trial. no protocol.","supported by forest laboratories, inc., new york, new york, and cypressbioscience, inc., san diego, california, usa.",philip j mease,NA,"minimum 3 months to meet acr criteria for fm, average of 5.6 years duration of fm across arms","female and male subjects were eligible for inclusion if they were 18 to 70 years of age and met the acr criteria for fm2. patients had to be willing to use a contraceptive (if female), and to withdraw from all centrally-acting therapies commonly used for fm, including antidepressants, sedative-hypnotic agents, muscle relaxants, and centrally-acting analgesics, as well as transcutaneous electrical nerve stimulation, biofeedback, tender and trigger point injections, acupuncture, and anesthetic or narcotic patches. all analgesic medications were prohibited during the study, except for acetaminophen, aspirin, and stable doses of nonsteroidal anti-inflammatory agents (nsaid). patients requiring additional analgesic therapy were allowed hydrocodone as a rescue medication; however, doses were not to exceed 60 mg/day and were not allowed during each 2-week period of data collection preceding the primary endpoints (weeks 14-15and weeks 26-27) or during the 48-hour period immediately prior to study visits. additionally, subjects had to fulfill criteria related to the recording of daily fm symptoms on an electronic patient experience diary (ped),including: (1) ability to read the ped screen text and understand english;(2) ability to hear and respond to ped audible prompts; (3) willingness to use the ped device daily for a minimum of 29 weeks; (4) completion of at least 70% of the random prompts during relevant days in the baseline period; (5) missing no more than 2 morning reports during relevant days in the baseline period; and (6) having a visual analog scale (vas) pain intensity rating (based on ped 24-h morning recall pain) of≥50 on a 0 to 100 scale at the end of the second week of the baseline period.","key exclusion criteria included: severe psychiatric illness; current major depressive episode (as assessed by the mini); significant risk of suicide according to the investigator’s judgment; alcohol or other drug abuse; a history of significant cardiovascular, respiratory, endocrine, genitourinary, liver, or kidney disease; autoimmune disease; systemic infection; cancer or current chemotherapy; significant sleep apnea; active peptic ulcer or inflammatory bowel disease",888,"placebo: 223
milnacipran 100mg/day: 224
milnacipran 200mg/day: 441",NA,adults with fibromyalgia,NA,119 withdrew due to aes,NA,"total pre: 888, post: 512, withdrew: 376 (42.3%)",NA,NA,fibromyalgia,fibromyalgia,primary
2,muller 2008,placebo,placebo,placebo,placebo,pain_int,pain_vas_0_10_post_intervention_12_weeks,post_int,visual_analogue_scale_0_10,smd,5.8,NA,26,0.6,NA,0.11766968108291043,NA,NA,NA,NA,NA,NA,,placebo,NA,somatoform symptoms and medically unexplained symptoms,somatic symptoms,parallel group,"escitalopram in the treatment of multisomatoform disorder: a double-blind, placebo-controlled trial","this study was
funded by h. lundbeck a/s",jacqueline e. muller,NA,at least 2 years of somatoform symptoms to be included in study,"inclusion criteria comprised the presence of msd defined as three or more bothersome medically unexplained symptoms within the past month, together with a
history of one or more somatoform symptoms for at least
2 years. fifty-one outpatients aged from 18 to 65 years
met eligibility criteria and were randomly assigned to
treatment.","patients with somatic
symptoms that were judged to be secondary to a
psychiatric disorder (e.g. chest pain occurring only during
a panic attack) other than msd were not included.
exclusion criteria were as follows: current or past
psychotic disorder, significant suicidal risk, any serious
unstable medical illness (as assessed by medical history,
physical examination, and standard laboratory investigations), pregnancy or breastfeeding, use of recent or
concomitant psychotropics, and concurrent cognitivebehavioural therapy",51,"placebo: 26
escitalopram: 25",NA,people aged 18-65 with somatoform symptoms and medically unexplained symptoms,NA,none withdrew,NA,"total pre: 51, post: 50, withdrew: 1 (1.96%)",NA,NA,unspecified chronic pain syndrome,primary,primary
2,muller 2008,escitalopram x visual_analogue_scale_0_10,escitalopram 10-20mg x visual_analogue_scale_0_10,escitalopram,escitalopram 10-20mg,pain_int,pain_vas_0_10_post_intervention_12_weeks,post_int,visual_analogue_scale_0_10,smd,2.8,NA,25,0.6,NA,0.12,NA,NA,NA,NA,NA,NA,,antidepressant,ssri,somatoform symptoms and medically unexplained symptoms,somatic symptoms,parallel group,"escitalopram in the treatment of multisomatoform disorder: a double-blind, placebo-controlled trial","this study was
funded by h. lundbeck a/s",jacqueline e. muller,NA,at least 2 years of somatoform symptoms to be included in study,"inclusion criteria comprised the presence of msd defined as three or more bothersome medically unexplained symptoms within the past month, together with a
history of one or more somatoform symptoms for at least
2 years. fifty-one outpatients aged from 18 to 65 years
met eligibility criteria and were randomly assigned to
treatment.","patients with somatic
symptoms that were judged to be secondary to a
psychiatric disorder (e.g. chest pain occurring only during
a panic attack) other than msd were not included.
exclusion criteria were as follows: current or past
psychotic disorder, significant suicidal risk, any serious
unstable medical illness (as assessed by medical history,
physical examination, and standard laboratory investigations), pregnancy or breastfeeding, use of recent or
concomitant psychotropics, and concurrent cognitivebehavioural therapy",51,"placebo: 26
escitalopram: 25",NA,people aged 18-65 with somatoform symptoms and medically unexplained symptoms,NA,1 withdrew due to aes,NA,"total pre: 51, post: 50, withdrew: 1 (1.96%)",NA,NA,unspecified chronic pain syndrome,primary,primary
